"","Anio","Bloque","X_UTM","Y_UTM","Altitud","Inc","Sevmed","LonBrot","Afmed","CA","RA","Color"
"1",2016,"Alta",605747.8559,2181069.77,2979.3,0.9,0.150333333,7.25,0.239366667,25.25252525,74.74747475,1
"2",2016,"Alta",605744.2655,2181056.689,2979.3,1,0.331,12.9,0.374486667,1.526717557,98.47328244,1
"3",2016,"Alta",605740.1774,2181039.178,2979.5,0.766666667,0.346666667,5.1,0.196066667,2.816901408,97.18309859,1
"4",2016,"Alta",605754.4645,2181033.508,2980,1,0.351,3.9,0.3699,15.38461538,84.61538462,1
"5",2016,"Alta",605742.3524,2181025.91,2984.3,1,0.383666667,9.25,0.362433333,16.94915254,83.05084746,1
"6",2016,"Alta",605727.7112,2181020.621,2992.3,1,0.248666667,5,0.225366667,17.44186047,82.55813953,1
"7",2016,"Alta",605724.2519,2181003.114,2990.8,1,0.403333333,6.8,0.254933333,4.225352113,95.77464789,1
"8",2016,"Alta",605737.9319,2180993.788,2991,0.933333333,0.412666667,4.5,0.316033333,10.20408163,89.79591837,1
"9",2016,"Alta",605724.6902,2180999.907,2991.2,1,0.330666667,7.7,0.324533333,4.166666667,95.83333333,1
"10",2016,"Alta",605721.5199,2181004.316,2990.9,1,0.289,9.55,0.4083,14.01869159,85.98130841,1
"11",2016,"Alta",605723.5856,2181009.419,2991.1,1,0.191333333,9.3,0.281733333,4.807692308,95.19230769,2
"12",2016,"Alta",605723.5343,2181018.051,2992.4,1,0.135333333,6.7,0.271733333,2.912621359,97.08737864,2
"13",2016,"Alta",605720.3726,2181021.02,2993.1,0.933333333,0.28,5.5,0.2375,4.819277108,95.18072289,3
"14",2016,"Alta",605728.6395,2181040.769,2979.2,1,0.382666667,4.8,0.2357,9.090909091,90.90909091,1
"15",2016,"Alta",605750.3759,2181086.607,2973.2,1,0.593666667,10.25,0.314733333,64.66165414,35.33834586,1
"16",2016,"Alta",605752.4903,2181083.521,2973.3,0.233333333,0.003,12.65,0.2792,9.278350515,90.72164948,1
"17",2016,"Alta",605758.8875,2181065.187,2978.5,0.733333333,0.019333333,8.5,0.244,4.672897196,95.3271028,1
"18",2016,"Alta",605746.3904,2181051.832,2979.5,1,0.273666667,14.4,0.286466667,32,68,1
"19",2016,"Media",605743.3129,2181040.635,2980.2,1,0.122333333,7.9,0.3537,17.34693878,82.65306122,1
"20",2016,"Media",605734.9078,2181044.127,2980.2,1,0.199666667,8.5,0.381133333,6.666666667,93.33333333,2
"21",2016,"Media",605734.3542,2181049.104,2979.7,0.133333333,0.000333333,7.4,0.1965,8.928571429,91.07142857,1
"22",2016,"Media",605734.3628,2181047.665,2979.8,0.966666667,0.164333333,9.766666667,0.439566667,1.652892562,98.34710744,1
"23",2016,"Media",605740.8457,2181032.541,2979.4,0.966666667,0.159,8.6,0.330333333,2.654867257,97.34513274,2
"24",2016,"Media",605727.6192,2181036.115,2979.4,0.566666667,0.009333333,11.2,0.48,1.818181818,98.18181818,2
"25",2016,"Media",605728.681,2181033.797,2978.5,0.966666667,0.163666667,7.75,0.349,5.825242718,94.17475728,2
"26",2016,"Media",605734.5193,2181021.326,2992.1,1,0.339333333,8,0.375866667,9.411764706,90.58823529,1
"27",2016,"Media",605741.3662,2181015.501,2992.9,1,0.332666667,6.75,0.3568,3.191489362,96.80851064,2
"28",2016,"Media",605726.7336,2181008.773,2973.5,1,0.257666667,7.9,0.3121,13.48314607,86.51685393,1
"29",2016,"Media",605721.5238,2181003.652,2990.9,1,0.091333333,10.5,0.389966667,6.666666667,93.33333333,1
"30",2016,"Media",605715.2595,2180999.63,2990.6,0.866666667,0.078666667,8.5,0.310033333,14.77272727,85.22727273,1
"31",2016,"Media",605712.1161,2180999.501,2973.4,1,0.345333333,9.25,0.3469,4.347826087,95.65217391,1
"32",2016,"Media",605712.1003,2181002.157,2991.1,1,0.264666667,8.5,0.343966667,5.555555556,94.44444444,2
"33",2016,"Media",605709.9215,2181016.089,2991.4,1,0.331666667,9.5,0.276366667,22.05882353,77.94117647,1
"34",2016,"Media",605719.3568,2181015.591,2991.8,0.966666667,0.322666667,8.4,0.232142857,5.303030303,94.6969697,1
"35",2016,"Media",605725.683,2181009.21,2992.5,1,0.339333333,8.1,0.2291,13.86138614,86.13861386,1
"36",2016,"Media",605728.1738,2181013.32,2992.4,1,0.619,8.9,0.299566667,6.015037594,93.98496241,1
"37",2016,"Baja",605744.4102,2181032.341,2975.7,1,0.267333333,4.95,0.271433333,7.142857143,92.85714286,2
"38",2016,"Baja",605740.8141,2181037.854,2980.1,1,0.189666667,19.2,0.4326,25.67567568,74.32432432,2
"39",2016,"Baja",605740.1866,2181037.629,2979.6,0.9,0.128333333,6.5,0.476333333,23.72881356,76.27118644,1
"40",2016,"Baja",605738.0893,2181037.837,2979.8,0.833333333,0.333,4.2,0.236466667,16.66666667,83.33333333,1
"41",2016,"Baja",605731.7927,2181039.239,2979,1,0.177666667,6.1,0.209333333,7.142857143,92.85714286,2
"42",2016,"Baja",605731.3312,2181028.722,2978.7,0.933333333,0.325,9.5,0.333933333,19.31818182,80.68181818,1
"43",2016,"Baja",605734.5002,2181024.535,2994.3,1,0.199,6.8,0.267266667,6.730769231,93.26923077,1
"44",2016,"Baja",605724.5153,2181029.346,2993.3,1,0.309666667,6.05,0.2572,4.87804878,95.12195122,2
"45",2016,"Baja",605728.7053,2181029.703,2974.3,1,0.244666667,10.2,0.3755,1.785714286,98.21428571,1
"46",2016,"Baja",605741.3313,2181021.366,2994.3,1,0.354666667,16.3,0.454933333,7.36196319,92.63803681,1
"47",2016,"Baja",605757.8895,2181056.77,2980,1,0.491333333,8.8,0.3743,5.681818182,94.31818182,2
"48",2016,"Baja",605732.9572,2181019.656,2992.2,1,0.543333333,8.8,0.276033333,14.28571429,85.71428571,1
"49",2016,"Baja",605732.8355,2181040.13,2979.8,1,0.24,9.1,0.350966667,6.12244898,93.87755102,2
"50",2016,"Baja",605717.8098,2181011.377,2991.9,1,0.079666667,5.45,0.352866667,4.255319149,95.74468085,2
"51",2016,"Baja",605717.9203,2180992.784,2990.9,1,0.547,9.55,0.411633333,13.13131313,86.86868687,1
"52",2016,"Baja",605727.9204,2180985.428,2990.7,1,0.529666667,6.8,0.260366667,10.97560976,89.02439024,1
"53",2016,"Baja",605731.0032,2180995.739,2990.9,1,0.154666667,10.4,0.391733333,20.83333333,79.16666667,1
"54",2016,"Baja",605707.4543,2181007.995,2991,1,0.441666667,9.5,0.369766667,15.17857143,84.82142857,1
"55",2017,"Alta",605747.8559,2181069.77,2979.3,0.066666667,0,7.2,0.265766667,0,100,2
"56",2017,"Alta",605744.2655,2181056.689,2979.3,0.066666667,0,4.8,0.132203333,0,100,1
"57",2017,"Alta",605740.1774,2181039.178,2979.5,0,0,8.2,0.293633333,0,100,2
"58",2017,"Alta",605754.4645,2181033.508,2980,0.066666667,0.000666667,7.5,0.223333333,1.666666667,98.33333333,2
"59",2017,"Alta",605742.3524,2181025.91,2984.3,0.066666667,0.005,9.95,0.3888,1.086956522,98.91304348,2
"60",2017,"Alta",605727.7112,2181020.621,2992.3,0.033333333,0,7.1,0.338833333,1.941747573,98.05825243,2
"61",2017,"Alta",605724.2519,2181003.114,2990.8,0.1,0.001,5.5,0.167866667,1.315789474,98.68421053,2
"62",2017,"Alta",605737.9319,2180993.788,2991,0,0,10,0.335833333,0,100,2
"63",2017,"Alta",605724.6902,2180999.907,2991.2,0.1,0,11.6,0.320833333,1.515151515,98.48484848,2
"64",2017,"Alta",605721.5199,2181004.316,2990.9,0,0,10.25,0.330333333,1.333333333,98.66666667,2
"65",2017,"Alta",605723.5856,2181009.419,2991.1,0,0,9.1,0.261133333,0,100,2
"66",2017,"Alta",605723.5343,2181018.051,2992.4,0.133333333,0.001,8.5,0.330733333,0,100,2
"67",2017,"Alta",605720.3726,2181021.02,2993.1,0,0,4.9,0.182333333,0,100,2
"68",2017,"Alta",605728.6395,2181040.769,2979.2,0.166666667,0.001333333,7.4,0.227366667,0.8,99.2,2
"69",2017,"Alta",605750.3759,2181086.607,2973.2,0,0,7.3,0.269833333,0,100,2
"70",2017,"Alta",605752.4903,2181083.521,2973.3,0,0,13.45,0.3572,3.658536585,96.34146341,1
"71",2017,"Alta",605758.8875,2181065.187,2978.5,0,0,5,0.2814,0,100,1
"72",2017,"Alta",605746.3904,2181051.832,2979.5,0.133333333,0.000666667,12.5,0.2724,19.01408451,80.98591549,2
"73",2017,"Media",605743.3129,2181040.635,2980.2,0.033333333,0,11.2,0.32883,0,100,2
"74",2017,"Media",605734.9078,2181044.127,2980.2,0,0,12.3,0.308233333,0,100,2
"75",2017,"Media",605734.3542,2181049.104,2979.7,0,0,7.2,0.2871,1.149425287,98.85057471,1
"76",2017,"Media",605734.3628,2181047.665,2979.8,0.033333333,0,10.56666667,0.3593,0.854700855,99.14529915,2
"77",2017,"Media",605740.8457,2181032.541,2979.4,0,0,5.75,0.343033333,1.176470588,98.82352941,2
"78",2017,"Media",605727.6192,2181036.115,2979.4,0,0,10,0.349033333,0,100,2
"79",2017,"Media",605728.681,2181033.797,2978.5,0.033333333,0,8.35,0.283066667,0.840336134,99.15966387,2
"80",2017,"Media",605734.5193,2181021.326,2992.1,0.233333333,0.002666667,7.25,0.2783,0.952380952,99.04761905,2
"81",2017,"Media",605741.3662,2181015.501,2992.9,0.033333333,0,6.85,0.2718,0,100,2
"82",2017,"Media",605726.7336,2181008.773,2973.5,0.066666667,0,8.9,0.257766667,1.680672269,98.31932773,2
"83",2017,"Media",605721.5238,2181003.652,2990.9,0.066666667,0.000333333,11.4,0.2299,0,100,2
"84",2017,"Media",605715.2595,2180999.63,2990.6,0.2,0.000333333,9,0.276066667,0,100,2
"85",2017,"Media",605712.1161,2180999.501,2973.4,0,0,8.9,0.361433333,1.639344262,98.36065574,2
"86",2017,"Media",605712.1003,2181002.157,2991.1,0,0,8.5,0.2827,0.757575758,99.24242424,2
"87",2017,"Media",605709.9215,2181016.089,2991.4,0.1,0.000333333,9.4,0.2314,0.649350649,99.35064935,2
"88",2017,"Media",605719.3568,2181015.591,2991.8,0,0,6.6,0.249433333,0,100,2
"89",2017,"Media",605725.683,2181009.21,2992.5,0.033333333,0,8.4,0.2302,0,100,2
"90",2017,"Media",605728.1738,2181013.32,2992.4,1,0.021,6.4,0.300066667,0,100,2
"91",2017,"Baja",605744.4102,2181032.341,2975.7,0.166666667,0.000333333,6.05,0.241633333,0,100,2
"92",2017,"Baja",605740.8141,2181037.854,2980.1,0,0,15,0.516133333,3.816793893,96.18320611,2
"93",2017,"Baja",605740.1866,2181037.629,2979.6,0.033333333,0.011,11.4,0.335433333,6.481481481,93.51851852,2
"94",2017,"Baja",605738.0893,2181037.837,2979.8,0,0,10.25,0.3094,1.834862385,98.16513761,2
"95",2017,"Baja",605731.7927,2181039.239,2979,0.2,0.000666667,8.3,0.3225,0.917431193,99.08256881,2
"96",2017,"Baja",605731.3312,2181028.722,2978.7,0,0,12.2,0.260033333,0,100,2
"97",2017,"Baja",605734.5002,2181024.535,2994.3,0.066666667,0,9.8,0.368133333,1.379310345,98.62068966,2
"98",2017,"Baja",605724.5153,2181029.346,2993.3,0,0,7.1,0.302333333,0,100,2
