"","Arbol","Bloque","Longitud","Latitud","X_UTM","Y_UTM","Altitud","AltRan","Fungicida","Nutrimento","Rep","Muestreo","DDA","Anio","AcicR","Abs","TotalAc","Inc","Sevmed","Sevmin","Sevmax","LonBrot","indcol","Afmed","Afmax","Afmin","Aftotal","CA","RA","Color","trat","ABCPEIC"
"1",1,"Alta",-97.990875,19.722336,605747.8559,2181069.77,2979.3,"Baja",1,1,1,1,0,2016,74,25,99,0.9,0.150333333,0,0.4,7.25,13.53,0.239366667,0.275,0.194,7.181,25.25252525,74.74747475,1,11,0
"2",2,"Alta",-97.99091,19.722218,605744.2655,2181056.689,2979.3,"Baja",1,2,1,1,0,2016,129,2,131,1,0.331,0.136666667,0.666666667,12.9,33.1,0.374486667,0.4365,0.3083,11.2346,1.526717557,98.47328244,1,12,0
"3",3,"Alta",-97.99095,19.72206,605740.1774,2181039.178,2979.5,"Baja",2,2,1,1,0,2016,69,2,71,0.766666667,0.346666667,0,0.583333333,5.1,26.57777778,0.196066667,0.217,0.163,5.882,2.816901408,97.18309859,1,22,0
"4",4,"Alta",-97.990814,19.722008,605754.4645,2181033.508,2980,"Baja",1,2,2,1,0,2016,33,6,39,1,0.351,0.21,0.573333333,3.9,35.1,0.3699,0.411,0.286,11.097,15.38461538,84.61538462,1,12,0
"5",5,"Alta",-97.99093,19.72194,605742.3524,2181025.91,2984.3,"Baja",2,1,1,1,0,2016,98,20,118,1,0.383666667,0.196666667,0.56,9.25,38.36666667,0.362433333,0.4825,0.29,10.873,16.94915254,83.05084746,1,21,0
"6",6,"Alta",-97.99107,19.721893,605727.7112,2181020.621,2992.3,"Alta",1,3,1,1,0,2016,71,15,86,1,0.248666667,0.116666667,0.366666667,5,24.86666667,0.225366667,0.245,0.189,6.761,17.44186047,82.55813953,1,13,0
"7",7,"Alta",-97.991104,19.721735,605724.2519,2181003.114,2990.8,"Alta",1,3,2,1,0,2016,68,3,71,1,0.403333333,0.266666667,0.566666667,6.8,40.33333333,0.254933333,0.292,0.224,7.648,4.225352113,95.77464789,1,13,0
"8",8,"Alta",-97.990974,19.72165,605737.9319,2180993.788,2991,"Alta",2,3,1,1,0,2016,44,5,49,0.933333333,0.412666667,0,0.633333333,4.5,38.51555556,0.316033333,0.432,0.265,9.481,10.20408163,89.79591837,1,23,0
"9",9,"Alta",-97.9911,19.721706,605724.6902,2180999.907,2991.2,"Alta",2,2,2,1,0,2016,92,4,96,1,0.330666667,0.16,0.526666667,7.7,33.06666667,0.324533333,0.361,0.253,9.736,4.166666667,95.83333333,1,22,0
"10",10,"Alta",-97.99113,19.721746,605721.5199,2181004.316,2990.9,"Alta",3,1,1,1,0,2016,92,15,107,1,0.289,0.173333333,0.526666667,9.55,28.9,0.4083,0.466,0.325,12.249,14.01869159,85.98130841,1,31,0
